team,conference,host,stats_base_url,platform,matched_school_name,n_players_2025_26
Adams State,RMAC,asugrizzlies.com,https://asugrizzlies.com/sports/mens-basketball/stats,sidearm,"Alexander, Jaylen",10
Adelphi,NE-10,aupanthers.com,https://aupanthers.com/sports/mens-basketball/stats,sidearm,"Brown, Reece",8
Alabama–Huntsville,GSC,uahchargers.com,https://uahchargers.com/sports/mens-basketball/stats,sidearm,"Allard, Thomas",9
Alaska Anchorage,GNAC,goseawolves.com,https://goseawolves.com/sports/mens-basketball/stats,sidearm,"Coleman, Jeremiah",10
Alaska Fairbanks,GNAC,alaskananooks.com,https://alaskananooks.com/sports/mens-basketball/stats,sidearm,"Amaro, Joel",10
Albany State GA,SIAC,asugoldenrams.com,https://asugoldenrams.com/sports/mens-basketball/stats,sidearm,"Edwards, Jeremiah",8
Allen,SIAC,auyellowjackets.com,https://auyellowjackets.com/sports/mens-basketball/stats,sidearm,"Bell, Tavaris",14
American International,NE-10,aicyellowjackets.com,https://aicyellowjackets.com/sports/mens-basketball/stats,sidearm,"Balde, Aguibou",11
Anderson SC,SAC,autrojans.com,https://autrojans.com/sports/mens-basketball/stats,sidearm,"Dawkins, Kadyn",9
Angelo State,LSC,angelosports.com,https://angelosports.com/sports/mens-basketball/stats,sidearm,"Barry, Jabbari",11
Arkansas Tech,GAC,arkansastechsports.com,https://arkansastechsports.com/sports/mens-basketball/stats,sidearm,"Augustus, Damon",9
Arkansas–Fort Smith,MIAA,uafortsmithlions.com,https://uafortsmithlions.com/sports/mens-basketball/stats,sidearm,"Black, Donovan",12
Arkansas–Monticello,GAC,www.uamsports.com,https://www.uamsports.com/sports/mens-basketball/stats,sidearm,"Bastianoni, Giancarlo",8
Ashland,G-MAC,goashlandeagles.com,https://goashlandeagles.com/sports/mens-basketball/stats,sidearm,"Davis, Cooper",9
Assumption College,NE-10,assumptiongreyhounds.com,https://assumptiongreyhounds.com/sports/mens-basketball/stats,sidearm,"Cunningham-Pemberton, Tayeshawn",8
Auburn Montgomery,GSC,aumathletics.com,https://aumathletics.com/sports/mens-basketball/stats,sidearm,"Barksdale, Devin",12
Augusta University,PBC,augustajags.com,https://augustajags.com/sports/mens-basketball/stats,sidearm,"Baker, TJ",11
Augustana College,NSIC,goaugie.com,https://goaugie.com/sports/mens-basketball/stats,sidearm,"Ferguson, Tameron",8
Azusa Pacific,,athletics.apu.edu,https://athletics.apu.edu/sports/mens-basketball/stats,sidearm,"Aisien, Tobias",10
Barry,Sunshine State,gobarrybucs.com,https://gobarrybucs.com/sports/mens-basketball/stats,sidearm,"Benitez, Jose",13
Barton,Carolinas,bartonbulldogs.com,https://bartonbulldogs.com/sports/mens-basketball/stats,sidearm,"Davis, Isaiah",8
Belmont Abbey,Carolinas,abbeyathletics.com,https://abbeyathletics.com/sports/mens-basketball/stats,sidearm,"Burnett, Elijah",10
Bemidji State,NSIC,bsubeavers.com,https://bsubeavers.com/sports/mens-basketball/stats,sidearm,"Fairbanks, Dominic",9
Benedict College,SIAC,benedicttigers.com,https://benedicttigers.com/sports/mens-basketball/stats,sidearm,"Anderson, Tareeq",9
Bentley,NE-10,bentleyfalcons.com,https://bentleyfalcons.com/sports/mens-basketball/stats,sidearm,"Carroll, Joe",8
Biola,,athletics.biola.edu,https://athletics.biola.edu/sports/mens-basketball/stats,sidearm,"Aranda, Facundo",9
Black Hills,RMAC,bhsuathletics.com,https://bhsuathletics.com/sports/mens-basketball/stats,sidearm,"Hackley, Jaeton",10
Bloomsburg,PSAC,bloomsburgathletics.com,https://bloomsburgathletics.com/sports/mens-basketball/stats,sidearm,"Davis II, Courtney",10
Bluefield St.,CIAA,gobstate.com,https://gobstate.com/sports/mens-basketball/stats,sidearm,"Beloti, Jayden",8
Bowie State,CIAA,bsubulldogs.com,https://bsubulldogs.com/sports/mens-basketball/stats,sidearm,"Allen, Joseph",11
Bridgeport,,,,manual_presto_category_stitch,Brandon Manirakiza,22
CSU Pueblo,RMAC,gothunderwolves.com,https://gothunderwolves.com/sports/mens-basketball/stats,sidearm,"Adam, Ty",8
CSULA,CCAA,lagoldeneagles.com,https://lagoldeneagles.com/sports/mens-basketball/stats,sidearm,"Agbaosi, Deraje",9
Cal St East Bay,,eastbaypioneers.com,https://eastbaypioneers.com/sports/mens-basketball/stats,sidearm,"Bush, Jaayden",9
Cal St San Bernardino,,csusbathletics.com,https://csusbathletics.com/sports/mens-basketball/stats,sidearm,"Anderson II, Amound",11
Cal State Humboldt,,humboldtathletics.com,https://humboldtathletics.com/sports/mens-basketball/stats,sidearm,"Ardouin, Drew",9
Caldwell,CACC,caldwellathletics.com,https://caldwellathletics.com/sports/mens-basketball/stats,sidearm,"Bull, Jaryn",9
California PA,PSAC,calvulcans.com,https://calvulcans.com/sports/mens-basketball/stats,sidearm,"Alexander, Dalman",9
Cameron,LSC,cameronaggies.com,https://cameronaggies.com/sports/mens-basketball/stats,sidearm,"Atazhoon, Quinn",10
Carson Newman,,,,generic,"Bilbrey, Matt",13
Catawba,SAC,catawbaathletics.com,https://catawbaathletics.com/sports/mens-basketball/stats,sidearm,"Athie, Ibra",9
