feature_column,feature_group
pre_A0,archetype
pre_A1,archetype
pre_A2,archetype
pre_A3,archetype
pre_A4,archetype
pre_A5,archetype
pre_A6,archetype
pre_A7,archetype
pre_archetype_reconstruction_error,archetype
pre_archetype_entropy,archetype
pre_archetype_max_membership,archetype
pre_archetype_primary_weight,archetype
pre_archetype_secondary_weight,archetype
pre_archetype_tertiary_weight,archetype
pre_archetype_primary_gap,archetype
pre_archetype_secondary_gap,archetype
pre_archetype_top2_sum,archetype
pre_archetype_top3_sum,archetype
pre_archetype_effective_count,archetype
pre_production_archetype_input_complete,archetype
pre_production_archetype_projection_success,archetype
pre_previously_had_archetype,archetype
pre_needs_new_archetype_projection,archetype
pre_archetype_is_clear_primary,archetype
pre_archetype_is_dual,archetype
pre_archetype_is_blended,archetype
