feature_column,train_missing,holdout_missing
pre_GP,0,0
pre_minutes_percentage,0,0
pre_TS_pct,0,0
pre_ORB_pct,0,0
pre_DRB_pct,0,0
pre_AST_pct,0,0
pre_TOV_pct,0,0
pre_FT_pct,0,0
pre_2P_pct,0,0
pre_3P_pct,0,0
pre_Blk_pct,0,0
pre_Stl_pct,0,0
pre_FTR,0,0
pre_personal_fouls_per_40,0,0
pre_AST_TOV,0,0
pre_rim_pct,75,30
pre_mid_pct,118,75
pre_dunk_pct,1014,435
pre_usg,0,0
pre_eFG,0,0
pre_stops_per_40,1,0
pre_three_per_100_team_possessions,0,0
pre_three_fg_pct,0,0
pre_mid_fg_pct,118,75
pre_dunk_fg_pct,1014,435
pre_rim_fg_pct,86,36
pre_rim_attempt_share,4,2
pre_mid_attempt_share,4,2
pre_three_attempt_share,4,2
pre_dunk_attempt_share,4,2
pre_rim_assisted_rate,163,74
pre_mid_assisted_rate,309,173
pre_three_assisted_rate,579,255
pre_dunk_assisted_rate,1090,473
pre_overall_assisted_fg_rate,57,28
pre_ORtg,0,0
pre_PORPAG,0,0
pre_adjoe,0,0
pre_drtg,0,0
pre_adj_drtg,0,0
pre_D_PORPAG,0,0
pre_bpm,0,0
pre_obpm,0,0
pre_dbpm,0,0
pre_gbpm,0,0
pre_ogbpm,0,0
pre_dgbpm,0,0
pre_class_year_num,0,0
pre_height_inches_standardized,0,1
conference_feature_season,0,0
origin_conf_barthag,0,0
destination_conf_barthag_same_year,3,0
conf_barthag_delta_same_year,3,0
origin_conf_adj_oe,0,0
destination_conf_adj_oe_same_year,3,0
conf_adj_oe_delta_same_year,3,0
origin_conf_adj_de,0,0
destination_conf_adj_de_same_year,3,0
conf_adj_de_delta_same_year,3,0
origin_conf_adj_t,0,0
destination_conf_adj_t_same_year,3,0
conf_adj_t_delta_same_year,3,0
pre_A0,4,3
pre_A1,4,3
pre_A2,4,3
pre_A3,4,3
pre_A4,4,3
pre_A5,4,3
pre_A6,4,3
pre_A7,4,3
pre_archetype_reconstruction_error,4,3
pre_archetype_entropy,4,3
pre_archetype_max_membership,4,3
pre_archetype_primary_weight,0,0
pre_archetype_secondary_weight,0,0
pre_archetype_tertiary_weight,0,0
pre_archetype_primary_gap,0,0
pre_archetype_secondary_gap,0,0
pre_archetype_top2_sum,0,0
pre_archetype_top3_sum,0,0
pre_archetype_effective_count,0,0
pre_production_archetype_input_complete,0,0
pre_production_archetype_projection_success,0,0
pre_previously_had_archetype,0,0
pre_needs_new_archetype_projection,0,0
pre_archetype_is_clear_primary,0,0
pre_archetype_is_dual,0,0
pre_archetype_is_blended,0,0
