model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
gradient_boosting,-0.0879028290341292,0.0879028290341292,"{""model__learning_rate"": 0.019794771074932348, ""model__max_depth"": 3, ""model__min_samples_leaf"": 14, ""model__n_estimators"": 358, ""model__subsample"": 0.6027808522124762}",0.2636062484151408,0.0825726923730878,0.1277212790158952
lightgbm,-0.087633694458958,0.087633694458958,"{""colsample_bytree"": 0.6475820657781451, ""learning_rate"": 0.01570942930631528, ""max_depth"": 2, ""min_child_samples"": 26, ""n_estimators"": 738, ""num_leaves"": 72, ""reg_alpha"": 0.39224856572289546, ""reg_lambda"": 0.00026895753329898576, ""subsample"": 0.671787373403312}",0.2704845915149921,0.082600081426718,0.1271233843005681
hist_gbm,-0.0875838895613875,0.0875838895613875,"{""model__l2_regularization"": 6.873211713642722e-06, ""model__learning_rate"": 0.08471354625326555, ""model__max_depth"": 2, ""model__max_iter"": 104, ""model__max_leaf_nodes"": 104, ""model__min_samples_leaf"": 27}",0.2727784516670223,0.0830204868716645,0.1269233660076996
random_forest,-0.0878688539239181,0.0878688539239181,"{""model__bootstrap"": true, ""model__max_depth"": 14, ""model__max_features"": 0.4, ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 6, ""model__n_estimators"": 424}",0.2685256607404934,0.0832114651573442,0.1272939488675952
xgboost,-0.0875482231702346,0.0875482231702346,"{""colsample_bytree"": 0.6477330648565489, ""gamma"": 0.1671139156284916, ""learning_rate"": 0.03792971824026007, ""max_depth"": 3, ""min_child_weight"": 18.827763526377364, ""n_estimators"": 811, ""reg_alpha"": 0.0009757402784210257, ""reg_lambda"": 0.0010471747332899983, ""subsample"": 0.7362080535664987}",0.2579578280718571,0.0833491497551731,0.128210178705268
extra_trees,-0.088398741278653,0.088398741278653,"{""model__bootstrap"": false, ""model__max_depth"": 14, ""model__max_features"": 0.6, ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 8, ""model__n_estimators"": 389}",0.2712127213231908,0.0834877973590719,0.1270599274958766
knn,-0.0904001207340959,0.0904001207340959,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 48, ""model__p"": 1, ""model__weights"": ""distance""}",0.2456742236358974,0.084843347270073,0.1292670047218152
ridge,-0.091147964131314,0.091147964131314,"{""model__alpha"": 316.22776601683796}",0.252643820474253,0.086761715948848,0.1286684373236437
elastic_net,-0.0909785477934604,0.0909785477934604,"{""model__alpha"": 0.005179474679231213, ""model__l1_ratio"": 0.35}",0.2497136573552554,0.0870665123688756,0.1289204260654527
linear_regression,-0.0922860002943422,0.0922860002943422,{},0.2418233683772077,0.0873334664541368,0.1295965406137973
