model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
hist_gbm,-3.9502365175765433,3.9502365175765433,"{""model__l2_regularization"": 0.017898389848671606, ""model__learning_rate"": 0.016666983286066417, ""model__max_depth"": 8, ""model__max_iter"": 373, ""model__max_leaf_nodes"": 18, ""model__min_samples_leaf"": 29}",0.5307271735048706,3.954084234344734,5.382692097239406
lightgbm,-3.9395015934153137,3.9395015934153137,"{""colsample_bytree"": 0.7576359764543358, ""learning_rate"": 0.03116693115704292, ""max_depth"": 4, ""min_child_samples"": 32, ""n_estimators"": 205, ""num_leaves"": 121, ""reg_alpha"": 0.05025232106574722, ""reg_lambda"": 10.655387911380606, ""subsample"": 0.9983886735314192}",0.5298435007545035,3.9548336378717233,5.387757701878961
gradient_boosting,-3.9187118471341016,3.9187118471341016,"{""model__learning_rate"": 0.012740679849625696, ""model__max_depth"": 5, ""model__min_samples_leaf"": 18, ""model__n_estimators"": 393, ""model__subsample"": 0.7471132530877013}",0.5262851026129107,3.964698724360403,5.40810799805407
extra_trees,-3.988557683898968,3.988557683898968,"{""model__bootstrap"": false, ""model__max_depth"": null, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 9, ""model__n_estimators"": 334}",0.5159874088161791,3.970288825077504,5.466573153741928
xgboost,-3.9052681621383214,3.9052681621383214,"{""colsample_bytree"": 0.672984658474964, ""gamma"": 2.1812219840018483, ""learning_rate"": 0.02689020472460617, ""max_depth"": 5, ""min_child_weight"": 14.277009862099836, ""n_estimators"": 252, ""reg_alpha"": 0.007950076736334064, ""reg_lambda"": 13.929406696615608, ""subsample"": 0.6793935750086767}",0.5213253262994151,3.9788717987987297,5.4363456176625355
random_forest,-3.968218069198065,3.968218069198065,"{""model__bootstrap"": true, ""model__max_depth"": null, ""model__max_features"": 0.6, ""model__min_samples_leaf"": 6, ""model__min_samples_split"": 9, ""model__n_estimators"": 453}",0.5138699759135072,4.002974289716259,5.478517543360817
elastic_net,-4.10058242988043,4.10058242988043,"{""model__alpha"": 0.02682695795279726, ""model__l1_ratio"": 0.95}",0.5057311505252788,4.105347122061803,5.524188058184308
ridge,-4.1042544262949905,4.1042544262949905,"{""model__alpha"": 31.622776601683793}",0.5029543321207615,4.155288150549395,5.539683858402511
linear_regression,-4.120752858016846,4.120752858016846,{},0.4938405119383386,4.192400221280643,5.590240928191093
knn,-4.371988066631188,4.371988066631188,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 34, ""model__p"": 2, ""model__weights"": ""distance""}",0.4159833968268303,4.413556095503855,6.004812227235044
