feature_column,train_missing,holdout_missing
pre_ORB_pct,0,0
pre_DRB_pct,0,0
pre_3P_pct,0,0
pre_2P_pct,0,0
pre_FT_pct,0,0
pre_Blk_pct,0,0
pre_FTR,0,0
pre_personal_fouls_per_40,0,0
pre_rim_pct,75,30
pre_dunk_pct,1014,435
pre_usg,0,0
pre_eFG,0,0
pre_stops_per_40,1,0
pre_three_per_100_team_possessions,0,0
pre_three_fg_pct,0,0
pre_dunk_fg_pct,1014,435
pre_rim_fg_pct,86,36
pre_rim_attempt_share,4,2
pre_three_attempt_share,4,2
pre_dunk_attempt_share,4,2
pre_rim_assisted_rate,163,74
pre_dunk_assisted_rate,1090,473
pre_three_assisted_rate,579,255
pre_overall_assisted_fg_rate,57,28
conference_feature_season,0,0
origin_conf_barthag,0,0
destination_conf_barthag_same_year,3,0
conf_barthag_delta_same_year,3,0
origin_conf_adj_oe,0,0
destination_conf_adj_oe_same_year,3,0
conf_adj_oe_delta_same_year,3,0
origin_conf_adj_de,0,0
destination_conf_adj_de_same_year,3,0
conf_adj_de_delta_same_year,3,0
origin_conf_adj_t,0,0
destination_conf_adj_t_same_year,3,0
conf_adj_t_delta_same_year,3,0
pre_height_inches_standardized,0,1
pre_adj_drtg,0,0
pre_D_PORPAG,0,0
