model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
xgboost,-0.9142120821046994,0.9142120821046994,"{""colsample_bytree"": 0.9100201888251929, ""gamma"": 4.781812155824495, ""learning_rate"": 0.013899498447470455, ""max_depth"": 7, ""min_child_weight"": 16.91542146459015, ""n_estimators"": 432, ""reg_alpha"": 0.00041063961608382883, ""reg_lambda"": 11.288626619837894, ""subsample"": 0.676718009677846}",0.5356004876118222,1.0338267487887554,1.8136139390747803
lightgbm,-0.9272208548422446,0.9272208548422446,"{""colsample_bytree"": 0.778817537633528, ""learning_rate"": 0.020614240473733458, ""max_depth"": 7, ""min_child_samples"": 27, ""n_estimators"": 210, ""num_leaves"": 17, ""reg_alpha"": 1.5415700395890578e-05, ""reg_lambda"": 0.29464718559972536, ""subsample"": 0.762723669637739}",0.5316121353894543,1.0420753434582184,1.821385122092069
extra_trees,-0.9203692830601772,0.9203692830601772,"{""model__bootstrap"": false, ""model__max_depth"": null, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 9, ""model__n_estimators"": 334}",0.5315999582189843,1.0423639721724032,1.8214087981676532
gradient_boosting,-0.9232108380819448,0.9232108380819448,"{""model__learning_rate"": 0.012740679849625696, ""model__max_depth"": 5, ""model__min_samples_leaf"": 18, ""model__n_estimators"": 393, ""model__subsample"": 0.7471132530877013}",0.5257809107674526,1.0442843290154562,1.8326877777975936
random_forest,-0.921616862200178,0.921616862200178,"{""model__bootstrap"": true, ""model__max_depth"": null, ""model__max_features"": 0.6, ""model__min_samples_leaf"": 6, ""model__min_samples_split"": 9, ""model__n_estimators"": 453}",0.5235851068448293,1.0500706635164707,1.83692587729506
hist_gbm,-0.9295504720035916,0.9295504720035916,"{""model__l2_regularization"": 1.704028165088651e-05, ""model__learning_rate"": 0.01055641828442685, ""model__max_depth"": 7, ""model__max_iter"": 376, ""model__max_leaf_nodes"": 62, ""model__min_samples_leaf"": 24}",0.5220956063920857,1.0503193361606993,1.839795190063706
elastic_net,-0.9860947313817862,0.9860947313817862,"{""model__alpha"": 0.13894954943731375, ""model__l1_ratio"": 0.5}",0.5063924591393534,1.101913767830108,1.8697772030102464
ridge,-1.0034281158776444,1.0034281158776444,"{""model__alpha"": 316.22776601683796}",0.505250479607543,1.109983775847826,1.8719388532598111
linear_regression,-1.0255924348143144,1.0255924348143144,{},0.496960899224247,1.1388136373637323,1.8875559748110036
knn,-1.0755898591526938,1.0755898591526938,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 26, ""model__p"": 1, ""model__weights"": ""distance""}",0.4154130878208016,1.1603513455921914,2.034808351939237
