model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
xgboost,-2.7891902158994584,2.7891902158994584,"{""colsample_bytree"": 0.7286866997646168, ""gamma"": 2.86649454635398, ""learning_rate"": 0.011731068955266061, ""max_depth"": 2, ""min_child_weight"": 12.346254946617389, ""n_estimators"": 540, ""reg_alpha"": 0.000975324059995403, ""reg_lambda"": 0.0022790704454127815, ""subsample"": 0.6973930904016418}",0.42746874824594194,2.8472676180092753,3.8845053813054515
gradient_boosting,-2.796221986746857,2.796221986746857,"{""model__learning_rate"": 0.030710573677773714, ""model__max_depth"": 2, ""model__min_samples_leaf"": 16, ""model__n_estimators"": 206, ""model__subsample"": 0.9118764001091078}",0.42316390430764594,2.8602907607457544,3.8990817678464293
hist_gbm,-2.8035219201073565,2.8035219201073565,"{""model__l2_regularization"": 0.019123708862553254, ""model__learning_rate"": 0.010213944061855218, ""model__max_depth"": 2, ""model__max_iter"": 660, ""model__max_leaf_nodes"": 105, ""model__min_samples_leaf"": 14}",0.4214359323998824,2.860432130066878,3.9049174511826727
lightgbm,-2.7912168294908626,2.7912168294908626,"{""colsample_bytree"": 0.6979263012671342, ""learning_rate"": 0.014440434522518069, ""max_depth"": 3, ""min_child_samples"": 30, ""n_estimators"": 282, ""num_leaves"": 22, ""reg_alpha"": 0.004501688157518208, ""reg_lambda"": 0.0006413044375730685, ""subsample"": 0.9251163126995611}",0.4212458608334103,2.861647032880148,3.9055588259844454
ridge,-2.8260279962231865,2.8260279962231865,"{""model__alpha"": 316.22776601683796}",0.41058554327961994,2.868568151586196,3.941363772568731
elastic_net,-2.817464885370133,2.817464885370133,"{""model__alpha"": 0.13894954943731375, ""model__l1_ratio"": 0.5}",0.4134578088055155,2.8747742189794128,3.931748748306401
extra_trees,-2.78561065610569,2.78561065610569,"{""model__bootstrap"": true, ""model__max_depth"": null, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 3, ""model__n_estimators"": 397}",0.4217495515890376,2.8755246024830003,3.9038589486596167
random_forest,-2.7813732792052432,2.7813732792052432,"{""model__bootstrap"": true, ""model__max_depth"": 14, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 11, ""model__min_samples_split"": 5, ""model__n_estimators"": 724}",0.4219132730242997,2.878968773302769,3.903306255065527
linear_regression,-2.8382448642164806,2.8382448642164806,{},0.40162117741224457,2.89551265454242,3.9712226423222146
knn,-2.994870229639582,2.994870229639582,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 52, ""model__p"": 1, ""model__weights"": ""distance""}",0.3580524922376388,3.0671052258642137,4.113257394566483
