model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
random_forest,-12.085419808269231,12.085419808269231,"{""model__bootstrap"": true, ""model__max_depth"": 8, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 11, ""model__min_samples_split"": 9, ""model__n_estimators"": 900}",0.18345863261353457,12.543132146896255,22.375239890730555
xgboost,-12.03029507112338,12.03029507112338,"{""colsample_bytree"": 0.8624404528158438, ""gamma"": 2.8235271036772334, ""learning_rate"": 0.018040145224922515, ""max_depth"": 5, ""min_child_weight"": 8.896216423495929, ""n_estimators"": 174, ""reg_alpha"": 1.065700723587715e-05, ""reg_lambda"": 12.104252092802392, ""subsample"": 0.6848919896105029}",0.18312952221822476,12.559153198877025,22.379748653222038
extra_trees,-12.208185368593838,12.208185368593838,"{""model__bootstrap"": false, ""model__max_depth"": null, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 9, ""model__n_estimators"": 334}",0.185133736969333,12.576457281255783,22.352277120139167
lightgbm,-12.130370993506626,12.130370993506626,"{""colsample_bytree"": 0.7695497747399398, ""learning_rate"": 0.010947765217865764, ""max_depth"": 3, ""min_child_samples"": 23, ""n_estimators"": 401, ""num_leaves"": 50, ""reg_alpha"": 1.6102906138999432e-05, ""reg_lambda"": 4.837664907114037, ""subsample"": 0.6465910476225872}",0.17289511817715852,12.680846444209978,22.519507921067017
hist_gbm,-12.207377841514337,12.207377841514337,"{""model__l2_regularization"": 9.175856414416092e-06, ""model__learning_rate"": 0.02778033977738005, ""model__max_depth"": 2, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 45, ""model__min_samples_leaf"": 14}",0.17222067908875816,12.703345226794088,22.52868749540283
gradient_boosting,-12.183757463712983,12.183757463712983,"{""model__learning_rate"": 0.015583519107726734, ""model__max_depth"": 5, ""model__min_samples_leaf"": 18, ""model__n_estimators"": 212, ""model__subsample"": 0.9906459823330611}",0.15850493499995166,12.773775405348802,22.7145632652528
elastic_net,-12.684952796162026,12.684952796162026,"{""model__alpha"": 0.13894954943731375, ""model__l1_ratio"": 0.8}",0.1545296409885909,13.113958340633655,22.7681528105002
ridge,-12.709828839882894,12.709828839882894,"{""model__alpha"": 316.22776601683796}",0.1520411404393761,13.141711658812632,22.801635315335815
linear_regression,-12.895603185697743,12.895603185697743,{},0.13050783210748473,13.313003883067976,23.089335883035105
knn,-13.011396862745869,13.011396862745869,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 52, ""model__p"": 1, ""model__weights"": ""distance""}",0.14067014184330406,13.367179127724947,22.954009408987474
