model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
xgboost,-1.7105051898543813,1.7105051898543813,"{""colsample_bytree"": 0.7782783407052402, ""gamma"": 0.6062913015963058, ""learning_rate"": 0.011081919681720731, ""max_depth"": 5, ""min_child_weight"": 5.176422089957442, ""n_estimators"": 475, ""reg_alpha"": 7.538583059753748, ""reg_lambda"": 13.848243586169563, ""subsample"": 0.831215844356427}",0.5804185779160573,1.7336300117299956,2.6646072150451383
extra_trees,-1.7225296275777022,1.7225296275777022,"{""model__bootstrap"": true, ""model__max_depth"": null, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 3, ""model__n_estimators"": 397}",0.5818996037486461,1.7379920411642977,2.6599003327815267
lightgbm,-1.7188761784276854,1.7188761784276854,"{""colsample_bytree"": 0.6355636442583377, ""learning_rate"": 0.019277329485122507, ""max_depth"": 5, ""min_child_samples"": 38, ""n_estimators"": 230, ""num_leaves"": 49, ""reg_alpha"": 2.8727145240333356e-06, ""reg_lambda"": 0.0659489155189497, ""subsample"": 0.7320189510603403}",0.5771640259331068,1.7418314703932707,2.6749214836232698
random_forest,-1.7144375122219795,1.7144375122219795,"{""model__bootstrap"": true, ""model__max_depth"": 14, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 8, ""model__n_estimators"": 473}",0.5677742903415668,1.7611086788365258,2.7044588155431617
gradient_boosting,-1.7263409520133925,1.7263409520133925,"{""model__learning_rate"": 0.012740679849625696, ""model__max_depth"": 5, ""model__min_samples_leaf"": 18, ""model__n_estimators"": 393, ""model__subsample"": 0.7471132530877013}",0.5687797060606072,1.7652025391970505,2.7013115149109095
elastic_net,-1.793270750911311,1.793270750911311,"{""model__alpha"": 0.13894954943731375, ""model__l1_ratio"": 0.65}",0.5490782450000365,1.7714100123078986,2.762330689966602
hist_gbm,-1.7365428541710841,1.7365428541710841,"{""model__l2_regularization"": 2.354398849850489e-05, ""model__learning_rate"": 0.011450964268326641, ""model__max_depth"": 6, ""model__max_iter"": 437, ""model__max_leaf_nodes"": 125, ""model__min_samples_leaf"": 25}",0.563066074908193,1.7741208030883089,2.7191486946469943
ridge,-1.82199579032836,1.82199579032836,"{""model__alpha"": 316.22776601683796}",0.5507473578077537,1.7876522506834183,2.7572134872188765
linear_regression,-1.8678258872863907,1.8678258872863907,{},0.5496775974418004,1.8107195067312436,2.7604942736272617
knn,-1.8450138189312604,1.8450138189312604,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 30, ""model__p"": 1, ""model__weights"": ""distance""}",0.528423900632796,1.8422935628069734,2.8248862658390372
