model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
random_forest,-0.5821608116371274,0.5821608116371274,"{""model__bootstrap"": true, ""model__max_depth"": null, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 15, ""model__n_estimators"": 994}",0.21703849038754686,0.6103827352585585,0.9115704423436034
extra_trees,-0.5835012010498694,0.5835012010498694,"{""model__bootstrap"": false, ""model__max_depth"": null, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 9, ""model__n_estimators"": 334}",0.22235352922725238,0.6124870970222577,0.9084711311053527
hist_gbm,-0.5849065489629056,0.5849065489629056,"{""model__l2_regularization"": 7.116230519072784, ""model__learning_rate"": 0.04297997327931972, ""model__max_depth"": 4, ""model__max_iter"": 126, ""model__max_leaf_nodes"": 112, ""model__min_samples_leaf"": 25}",0.2088333626794735,0.612912479583314,0.9163344429518447
xgboost,-0.5812638521524449,0.5812638521524449,"{""colsample_bytree"": 0.7485422902830929, ""gamma"": 0.3455787578251961, ""learning_rate"": 0.010046054983835135, ""max_depth"": 3, ""min_child_weight"": 16.835312309072908, ""n_estimators"": 861, ""reg_alpha"": 0.2904520307710715, ""reg_lambda"": 19.8372616265326, ""subsample"": 0.6145705238484451}",0.21504047883576782,0.613580413364195,0.9127328033193691
gradient_boosting,-0.5831762340243338,0.5831762340243338,"{""model__learning_rate"": 0.011085122517311707, ""model__max_depth"": 3, ""model__min_samples_leaf"": 18, ""model__n_estimators"": 661, ""model__subsample"": 0.8650089137415928}",0.21672804648761057,0.6139389242521712,0.9117511430765088
lightgbm,-0.5818812866327879,0.5818812866327879,"{""colsample_bytree"": 0.6642540662009311, ""learning_rate"": 0.0452168957924825, ""max_depth"": 3, ""min_child_samples"": 35, ""n_estimators"": 150, ""num_leaves"": 98, ""reg_alpha"": 0.002009824113201081, ""reg_lambda"": 0.7026911806012385, ""subsample"": 0.8545755690728953}",0.2102491859161003,0.6144007814429499,0.9155141678808923
elastic_net,-0.5965996742889006,0.5965996742889006,"{""model__alpha"": 0.02682695795279726, ""model__l1_ratio"": 0.25}",0.2469711446623316,0.6244953241916961,0.8939759543376626
ridge,-0.5973744248554845,0.5973744248554845,"{""model__alpha"": 100.0}",0.24080874975305055,0.627519033707912,0.8976264173654188
linear_regression,-0.6007529792467552,0.6007529792467552,{},0.23747772750223017,0.6288070087561105,0.8995934717821574
knn,-0.6258381386533415,0.6258381386533415,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 30, ""model__p"": 1, ""model__weights"": ""distance""}",0.1388886378157259,0.6553917610778761,0.9559819409029842
