model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
elastic_net,-4.228187213317403,4.228187213317403,"{""model__alpha"": 0.13894954943731375, ""model__l1_ratio"": 0.8}",0.0805385493231493,4.183514230111443,6.497334789892527
extra_trees,-4.225502132106785,4.225502132106785,"{""model__bootstrap"": true, ""model__max_depth"": null, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 3, ""model__n_estimators"": 397}",0.11137093502279505,4.192074180372093,6.387468029610178
random_forest,-4.206251284177738,4.206251284177738,"{""model__bootstrap"": true, ""model__max_depth"": 14, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 11, ""model__min_samples_split"": 5, ""model__n_estimators"": 724}",0.10013645892676526,4.198573163489099,6.4277179361903265
lightgbm,-4.215960320336257,4.215960320336257,"{""colsample_bytree"": 0.8648286762684476, ""learning_rate"": 0.015822751904477836, ""max_depth"": 4, ""min_child_samples"": 21, ""n_estimators"": 226, ""num_leaves"": 51, ""reg_alpha"": 0.008525936816548438, ""reg_lambda"": 0.00010702921520866599, ""subsample"": 0.8886964891340507}",0.08334890855525345,4.203818305407269,6.4873975494070555
ridge,-4.236814369647099,4.236814369647099,"{""model__alpha"": 316.22776601683796}",0.050926956328949724,4.212335347144263,6.601130243534631
xgboost,-4.2020568039838,4.2020568039838,"{""colsample_bytree"": 0.8320432333098128, ""gamma"": 0.017902345021022392, ""learning_rate"": 0.015398097364773197, ""max_depth"": 4, ""min_child_weight"": 19.731319765176686, ""n_estimators"": 276, ""reg_alpha"": 2.958620564826375e-05, ""reg_lambda"": 0.11932783895971527, ""subsample"": 0.8384389352084881}",0.08267094733501124,4.217770134499311,6.489796167084618
hist_gbm,-4.223208589759059,4.223208589759059,"{""model__l2_regularization"": 1.085003369566342e-06, ""model__learning_rate"": 0.016188853704122885, ""model__max_depth"": 3, ""model__max_iter"": 262, ""model__max_leaf_nodes"": 94, ""model__min_samples_leaf"": 13}",0.08375022568184176,4.218774446506287,6.485977276857929
gradient_boosting,-4.219853799873684,4.219853799873684,"{""model__learning_rate"": 0.019794771074932348, ""model__max_depth"": 3, ""model__min_samples_leaf"": 14, ""model__n_estimators"": 358, ""model__subsample"": 0.6027808522124762}",0.07041850607180211,4.246502261764347,6.532993364623942
linear_regression,-4.2650386156533955,4.2650386156533955,{},0.021270638349210502,4.254560135597552,6.703471867371943
knn,-4.398023505548264,4.398023505548264,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 58, ""model__p"": 1, ""model__weights"": ""uniform""}",0.09228328623900428,4.281819695649946,6.455704582707463
