model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
knn,-6.086354074692757,6.086354074692757,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 58, ""model__p"": 1, ""model__weights"": ""uniform""}",0.08572959110349399,5.963393579955936,9.401541125806082
extra_trees,-6.039623367508703,6.039623367508703,"{""model__bootstrap"": true, ""model__max_depth"": 14, ""model__max_features"": 0.4, ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 6, ""model__n_estimators"": 424}",0.0931276510853073,5.997163050433624,9.363426341278045
random_forest,-6.056823355787174,6.056823355787174,"{""model__bootstrap"": true, ""model__max_depth"": 16, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 978}",0.08833566075504262,6.021637801046618,9.388132316234211
lightgbm,-6.105759911494337,6.105759911494337,"{""colsample_bytree"": 0.9445418482816814, ""learning_rate"": 0.023901766473339366, ""max_depth"": 2, ""min_child_samples"": 29, ""n_estimators"": 185, ""num_leaves"": 71, ""reg_alpha"": 0.010529362297140469, ""reg_lambda"": 0.00046025288595415116, ""subsample"": 0.8018510429972034}",0.07878762743692147,6.025435289153295,9.437166109637534
xgboost,-6.104709458163041,6.104709458163041,"{""colsample_bytree"": 0.7778937564607803, ""gamma"": 3.2968208936897714, ""learning_rate"": 0.02256046622437768, ""max_depth"": 2, ""min_child_weight"": 12.671609798652302, ""n_estimators"": 209, ""reg_alpha"": 0.026262662002076036, ""reg_lambda"": 0.005790536556269825, ""subsample"": 0.9384880777323703}",0.08319694869627414,6.025533599286696,9.414553837712667
gradient_boosting,-6.130306830363578,6.130306830363578,"{""model__learning_rate"": 0.014149761574941432, ""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 132, ""model__subsample"": 0.6254233401144095}",0.08234525501061762,6.031524978452404,9.418925798894394
hist_gbm,-6.114739186885916,6.114739186885916,"{""model__l2_regularization"": 0.019123708862553254, ""model__learning_rate"": 0.010213944061855218, ""model__max_depth"": 2, ""model__max_iter"": 660, ""model__max_leaf_nodes"": 105, ""model__min_samples_leaf"": 14}",0.08498769290591601,6.047406819288947,9.405354861836894
ridge,-6.088280684069568,6.088280684069568,"{""model__alpha"": 3162.2776601683795}",0.0812564063509098,6.050055991702174,9.424512183275924
elastic_net,-6.0846265615871,6.0846265615871,"{""model__alpha"": 0.7196856730011522, ""model__l1_ratio"": 0.05}",0.08150157799097857,6.0527315802633765,9.423254608640358
linear_regression,-6.191136206756476,6.191136206756476,{},0.06756141222340473,6.063754673178553,9.494494281799316
