feature_column,train_missing,holdout_missing
pre_minutes_percentage,0,0
pre_TS_pct,0,0
pre_ORB_pct,0,0
pre_DRB_pct,0,0
pre_TOV_pct,0,0
pre_FT_pct,0,0
pre_2P_pct,0,0
pre_3P_pct,0,0
pre_Blk_pct,0,0
pre_Stl_pct,0,0
pre_FTR,0,0
pre_personal_fouls_per_40,0,0
pre_AST_TOV,0,0
pre_rim_pct,75,30
pre_mid_pct,118,75
pre_dunk_pct,1013,435
pre_usg,0,0
pre_eFG,0,0
pre_stops_per_40,1,0
pre_three_per_100_team_possessions,0,0
pre_three_fg_pct,0,0
pre_mid_fg_pct,118,75
pre_dunk_fg_pct,1013,435
pre_rim_fg_pct,86,36
pre_rim_attempt_share,4,2
pre_mid_attempt_share,4,2
pre_three_attempt_share,4,2
pre_dunk_attempt_share,4,2
pre_rim_assisted_rate,163,74
pre_mid_assisted_rate,309,173
pre_three_assisted_rate,578,255
pre_dunk_assisted_rate,1089,473
pre_overall_assisted_fg_rate,57,28
conference_feature_season,0,0
origin_conf_barthag,0,0
destination_conf_barthag_same_year,3,0
conf_barthag_delta_same_year,3,0
origin_conf_adj_oe,0,0
destination_conf_adj_oe_same_year,3,0
conf_adj_oe_delta_same_year,3,0
origin_conf_adj_de,0,0
destination_conf_adj_de_same_year,3,0
conf_adj_de_delta_same_year,3,0
origin_conf_adj_t,0,0
destination_conf_adj_t_same_year,3,0
conf_adj_t_delta_same_year,3,0
pre_adj_drtg,0,0
pre_D_PORPAG,0,0
