model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
elastic_net,-4.145347469689615,4.145347469689615,"{""model__alpha"": 0.02682695795279726, ""model__l1_ratio"": 0.95}",0.4647170720444141,4.366563615802984,5.606046478329933
ridge,-4.152262093709707,4.152262093709707,"{""model__alpha"": 316.22776601683796}",0.4595801978949644,4.383136827837037,5.6328816284075245
linear_regression,-4.176849554765906,4.176849554765906,{},0.4531101565379871,4.409698639206418,5.666500440103753
extra_trees,-4.080082375990118,4.080082375990118,"{""model__bootstrap"": false, ""model__max_depth"": 12, ""model__max_features"": 0.6, ""model__min_samples_leaf"": 7, ""model__min_samples_split"": 12, ""model__n_estimators"": 383}",0.3918890602110428,4.72840608550699,5.975254477941717
random_forest,-4.088268872027493,4.088268872027493,"{""model__bootstrap"": true, ""model__max_depth"": null, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 3, ""model__n_estimators"": 397}",0.3855863526961529,4.737819887499716,6.006139633663875
gradient_boosting,-4.032797614196715,4.032797614196715,"{""model__learning_rate"": 0.038318920053237254, ""model__max_depth"": 2, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 260, ""model__subsample"": 0.6072301454462083}",0.3760794251399629,4.771067123281135,6.052428276401939
xgboost,-4.020623191279276,4.020623191279276,"{""colsample_bytree"": 0.8342635183792795, ""gamma"": 1.5796484976733658, ""learning_rate"": 0.01815092383701721, ""max_depth"": 2, ""min_child_weight"": 13.4446918654131, ""n_estimators"": 591, ""reg_alpha"": 0.5284069535132789, ""reg_lambda"": 1.1788981929562743, ""subsample"": 0.8930728770921013}",0.3662649835524246,4.8092928401680615,6.0998457092346925
lightgbm,-4.0283004504727415,4.0283004504727415,"{""colsample_bytree"": 0.7677328829291472, ""learning_rate"": 0.021062645490648096, ""max_depth"": 2, ""min_child_samples"": 11, ""n_estimators"": 640, ""num_leaves"": 62, ""reg_alpha"": 0.004187374751251345, ""reg_lambda"": 0.1914056900595148, ""subsample"": 0.7646699473034082}",0.3673967074129094,4.812210865158119,6.094396723849348
hist_gbm,-4.035159141630561,4.035159141630561,"{""model__l2_regularization"": 0.24932754437140162, ""model__learning_rate"": 0.043897812845882046, ""model__max_depth"": 2, ""model__max_iter"": 306, ""model__max_leaf_nodes"": 29, ""model__min_samples_leaf"": 30}",0.3522192718300276,4.875417735577185,6.167071868350399
knn,-4.246047528835534,4.246047528835534,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 25, ""model__p"": 1, ""model__weights"": ""distance""}",0.3480953406364064,4.881749052118178,6.186671271179877
