model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
extra_trees,-2.5651216329030113,2.5651216329030113,"{""model__bootstrap"": true, ""model__max_depth"": 14, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 8, ""model__n_estimators"": 473}",0.4111218088760071,2.66460498115484,3.8033282318015176
gradient_boosting,-2.589933961131848,2.589933961131848,"{""model__learning_rate"": 0.030710573677773714, ""model__max_depth"": 2, ""model__min_samples_leaf"": 16, ""model__n_estimators"": 206, ""model__subsample"": 0.9118764001091078}",0.4109223438728101,2.6720007182227232,3.8039723095236218
xgboost,-2.5740633646043474,2.5740633646043474,"{""colsample_bytree"": 0.6628716188253152, ""gamma"": 2.80320498241359, ""learning_rate"": 0.02069958566380647, ""max_depth"": 3, ""min_child_weight"": 10.452691364662684, ""n_estimators"": 205, ""reg_alpha"": 0.0006316383759112304, ""reg_lambda"": 2.612944825481804, ""subsample"": 0.9347157548603692}",0.4110732652757054,2.6777283733343538,3.80348499040079
random_forest,-2.570265358743629,2.570265358743629,"{""model__bootstrap"": true, ""model__max_depth"": 16, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 5, ""model__n_estimators"": 933}",0.411560795730541,2.6782978340060084,3.801910347426844
lightgbm,-2.584646899674964,2.584646899674964,"{""colsample_bytree"": 0.7617364610272611, ""learning_rate"": 0.022454280452516545, ""max_depth"": 3, ""min_child_samples"": 22, ""n_estimators"": 185, ""num_leaves"": 20, ""reg_alpha"": 0.8407107915138686, ""reg_lambda"": 0.06329392205372546, ""subsample"": 0.9119824742806903}",0.40735706668819,2.6836062387309676,3.8154663432440903
hist_gbm,-2.585480852790485,2.585480852790485,"{""model__l2_regularization"": 1.085003369566342e-06, ""model__learning_rate"": 0.016188853704122885, ""model__max_depth"": 3, ""model__max_iter"": 262, ""model__max_leaf_nodes"": 94, ""model__min_samples_leaf"": 13}",0.4093463901346064,2.684798666670095,3.809057275961623
elastic_net,-2.59633676189224,2.59633676189224,"{""model__alpha"": 0.13894954943731375, ""model__l1_ratio"": 0.5}",0.4017792354755872,2.6926006973888255,3.833379478492344
ridge,-2.604269660308874,2.604269660308874,"{""model__alpha"": 1000.0}",0.4018562795475585,2.6984711567823925,3.83313262257255
linear_regression,-2.6374998175515625,2.6374998175515625,{},0.3684872131106783,2.7537342603231942,3.938602444524492
knn,-2.6686910441122196,2.6686910441122196,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 44, ""model__p"": 1, ""model__weights"": ""distance""}",0.3660155016019156,2.7885177982402705,3.94630267017137
