model_name,cv_best_neg_mae,cv_best_mae,best_params,r2,mae,rmse
xgboost,-3.362070605730102,3.362070605730102,"{""colsample_bytree"": 0.6098893216310137, ""gamma"": 0.9442139669011669, ""learning_rate"": 0.023330969783836395, ""max_depth"": 2, ""min_child_weight"": 2.2823401985639293, ""n_estimators"": 550, ""reg_alpha"": 4.018733873666012, ""reg_lambda"": 0.07929124996204791, ""subsample"": 0.6777041290159844}",0.2490270503018076,3.4464785961304165,4.356706919873394
hist_gbm,-3.3746055123152394,3.3746055123152394,"{""model__l2_regularization"": 0.24932754437140162, ""model__learning_rate"": 0.043897812845882046, ""model__max_depth"": 2, ""model__max_iter"": 306, ""model__max_leaf_nodes"": 29, ""model__min_samples_leaf"": 30}",0.2450871277375674,3.4563881109224286,4.368120535330037
gradient_boosting,-3.369015160456059,3.369015160456059,"{""model__learning_rate"": 0.011085122517311707, ""model__max_depth"": 3, ""model__min_samples_leaf"": 18, ""model__n_estimators"": 661, ""model__subsample"": 0.8650089137415928}",0.2436068613218848,3.4591440126295883,4.372401039593345
lightgbm,-3.365407878084986,3.365407878084986,"{""colsample_bytree"": 0.6454078948307839, ""learning_rate"": 0.02842708406258428, ""max_depth"": 3, ""min_child_samples"": 34, ""n_estimators"": 369, ""num_leaves"": 76, ""reg_alpha"": 0.5090165751953394, ""reg_lambda"": 0.00046449819490128726, ""subsample"": 0.9678220054517277}",0.2386567405793854,3.4740005947947377,4.386685024933189
linear_regression,-3.3649911407926667,3.3649911407926667,{},0.2214949426692868,3.5005494285188834,4.435850671686766
random_forest,-3.3831325426295735,3.3831325426295735,"{""model__bootstrap"": true, ""model__max_depth"": 14, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 11, ""model__min_samples_split"": 5, ""model__n_estimators"": 724}",0.2292983075132029,3.5042559801369264,4.413563251521973
ridge,-3.3509670373483607,3.3509670373483607,"{""model__alpha"": 100.0}",0.2228228204747374,3.5043603880866265,4.432065993946434
elastic_net,-3.3451866837016753,3.3451866837016753,"{""model__alpha"": 0.02682695795279726, ""model__l1_ratio"": 0.95}",0.2165575299083463,3.5127634303261557,4.449894902499875
extra_trees,-3.4076091459166564,3.4076091459166564,"{""model__bootstrap"": true, ""model__max_depth"": 14, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 8, ""model__n_estimators"": 473}",0.2181684172936611,3.523018105089448,4.445317688202939
knn,-3.617893030416719,3.617893030416719,"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 38, ""model__p"": 2, ""model__weights"": ""distance""}",0.1232528949186659,3.751237448643367,4.707424559908955
